,year,name,gCNN_d18o
178,1961,rodcat_irr,30.199
179,1961,rodcat_fsa,26.746
180,1962,baker_ecu,23.565
181,1962,brie_sel,22.556
182,1962,jenkins,23.038
183,1962,ball_m,23.038
184,1962,ball_v,30.362
185,1962,ortega_jam,23.566
186,1962,rodcat_utu,25.018
187,1962,rodcat_gua,28.715
188,1962,rodcat_irr,30.199
189,1962,rodcat_fsa,26.746
190,1963,baker_ecu,23.565
191,1963,brie_sel,22.556
192,1963,jenkins,23.038
193,1963,ball_m,23.038
194,1963,ball_v,30.362
195,1963,ortega_jam,23.566
196,1963,rodcat_utu,25.018
197,1963,rodcat_gua,28.715
198,1963,rodcat_irr,30.199
199,1963,rodcat_fsa,26.746
200,1964,baker_ecu,23.565
201,1964,brie_sel,22.556
202,1964,jenkins,23.038
203,1964,ball_m,23.038
204,1964,ball_v,30.362
205,1964,ortega_jam,23.566
206,1964,rodcat_utu,25.018
207,1964,rodcat_gua,28.715
208,1964,rodcat_irr,30.199
209,1964,rodcat_fsa,26.746
210,1965,baker_ecu,23.565
211,1965,brie_sel,22.556
212,1965,jenkins,23.038
213,1965,ball_m,23.038
214,1965,ball_v,30.362
215,1965,ortega_jam,23.566
216,1965,rodcat_utu,25.018
217,1965,rodcat_gua,28.715
218,1965,rodcat_irr,30.199
219,1965,rodcat_fsa,26.746
220,1966,baker_ecu,23.565
221,1966,brie_sel,22.556
222,1966,jenkins,23.038
223,1966,ball_m,23.038
224,1966,ball_v,30.362
225,1966,ortega_jam,23.566
226,1966,rodcat_utu,25.018
227,1966,rodcat_gua,28.715
228,1966,rodcat_irr,30.199
229,1966,rodcat_fsa,26.746
230,1967,baker_ecu,23.565
231,1967,brie_sel,22.556
232,1967,jenkins,23.038
233,1967,ball_m,23.038
234,1967,ball_v,30.362
235,1967,ortega_jam,23.566
236,1967,rodcat_utu,25.018
237,1967,rodcat_gua,28.715
238,1967,rodcat_irr,30.199
239,1967,rodcat_fsa,26.746
240,1968,baker_ecu,23.565
241,1968,brie_sel,22.556
242,1968,jenkins,23.038
243,1968,ball_m,23.038
244,1968,ball_v,30.362
245,1968,ortega_jam,23.566
246,1968,rodcat_utu,25.018
247,1968,rodcat_gua,28.715
248,1968,rodcat_irr,30.199
249,1968,rodcat_fsa,26.746
250,1969,baker_ecu,23.565
251,1969,brie_sel,22.556
252,1969,jenkins,23.038
253,1969,ball_m,23.038
254,1969,ball_v,30.362
255,1969,ortega_jam,23.566
256,1969,rodcat_utu,25.018
257,1969,rodcat_gua,28.715
258,1969,rodcat_irr,30.199
259,1969,rodcat_fsa,26.746
260,1970,baker_ecu,23.565
261,1970,brie_sel,22.556
262,1970,jenkins,23.038
263,1970,ball_m,23.038
264,1970,ball_v,30.362
265,1970,ortega_jam,23.566
266,1970,rodcat_utu,25.018
267,1970,rodcat_gua,28.715
268,1970,rodcat_irr,30.199
269,1970,rodcat_fsa,26.746
270,1971,baker_ecu,23.565
271,1971,brie_sel,22.556
272,1971,jenkins,23.038
273,1971,ball_m,23.038
274,1971,ball_v,30.362
275,1971,ortega_jam,23.566
276,1971,rodcat_utu,25.018
277,1971,rodcat_gua,28.715
278,1971,rodcat_irr,30.199
279,1971,rodcat_fsa,26.746
280,1972,baker_ecu,23.565
281,1972,brie_sel,22.556
282,1972,jenkins,23.038
283,1972,ball_m,23.038
